objectid,title,attribution,classification,iiifthumburl
391,The Trojans Repairing Their Ships in Sicily,Dosso Dossi,Painting,"https://api.nga.gov/iiif/fcb4b064-c44a-44b6-a95f-4066903f1386/full/!200,200/0/default.jpg"
426,Saint John the Baptist,Jacopo del Sellaio,Painting,"https://api.nga.gov/iiif/d56ff173-a09e-469d-871e-d0a7bd346e65/full/!200,200/0/default.jpg"
494,Apollo and Marsyas,"Sienese 16th Century, possibly Bartolomeo di David",Painting,"https://api.nga.gov/iiif/d6e8ed73-2643-4b5b-8fba-6761089c02bd/full/!200,200/0/default.jpg"
526,The Apparition of the Virgin,Girolamo da Carpi,Painting,"https://api.nga.gov/iiif/a70547b2-b7c9-42ea-91b0-3b9fb3cc367e/full/!200,200/0/default.jpg"
531,The Holy Family,Agnolo Bronzino,Painting,"https://api.nga.gov/iiif/cb2fb43d-7057-4c8b-bcb7-66904ec64319/full/!200,200/0/default.jpg"
596,Saint George,Nicoletto da Modena,Print,"https://api.nga.gov/iiif/1a474ef9-fadb-401a-9cc9-804e818cf8ff/full/!200,200/0/default.jpg"
574,Cherubs Playing with a Swan,Jean-Baptiste Tuby I,Sculpture,"https://api.nga.gov/iiif/f82b507d-c1cb-4074-b4cc-40bd714d8357/full/!200,200/0/default.jpg"
575,Cherubs Playing with a Lyre,Pierre Legros I,Sculpture,"https://api.nga.gov/iiif/350eaa43-63aa-4a4f-9f28-11e3f76913b1/full/!200,200/0/default.jpg"
983,The Holy Family Arriving at a City Gate,Giovanni Domenico Tiepolo,Print,"https://api.nga.gov/iiif/8f2d02de-f26b-4f67-8be8-96a9a180d2c1/full/!200,200/0/default.jpg"
1006,A Burgher of Calais (Jean d'Aire),Auguste Rodin,Sculpture,"https://api.nga.gov/iiif/304f0ff9-90a4-4c25-95c4-521e4d5dfeb1/full/!200,200/0/default.jpg"
1007,Head of Balzac,Auguste Rodin,Sculpture,"https://api.nga.gov/iiif/8b68e2fc-7304-4886-8303-8a3778777d6c/full/!200,200/0/default.jpg"
1007,Head of Balzac,Auguste Rodin,Sculpture,"https://api.nga.gov/iiif/c5d4e680-3d1b-4f6a-86e5-5e23f7703b73/full/!200,200/0/default.jpg"
1007,Head of Balzac,Auguste Rodin,Sculpture,"https://api.nga.gov/iiif/d42568da-c4c6-4cdb-93c8-bfed401ed48e/full/!200,200/0/default.jpg"
1007,Head of Balzac,Auguste Rodin,Sculpture,"https://api.nga.gov/iiif/db68a375-2923-4684-ab34-2503abc38240/full/!200,200/0/default.jpg"
1009,Katherine Seney Simpson (Mrs. John W. Simpson),Auguste Rodin,Sculpture,"https://api.nga.gov/iiif/310a9c05-8a8c-492e-8343-c0525a1ed66b/full/!200,200/0/default.jpg"
1009,Katherine Seney Simpson (Mrs. John W. Simpson),Auguste Rodin,Sculpture,"https://api.nga.gov/iiif/4f11c84d-d970-4706-92f4-b12f293e0af6/full/!200,200/0/default.jpg"
1009,Katherine Seney Simpson (Mrs. John W. Simpson),Auguste Rodin,Sculpture,"https://api.nga.gov/iiif/6b864476-e52d-49b3-94ad-a948a5202a68/full/!200,200/0/default.jpg"
1009,Katherine Seney Simpson (Mrs. John W. Simpson),Auguste Rodin,Sculpture,"https://api.nga.gov/iiif/f0ccfdc3-0038-495a-9d78-b56828fb980b/full/!200,200/0/default.jpg"
1115,Sir Joshua Reynolds,Gilbert Stuart,Painting,"https://api.nga.gov/iiif/f9a7f993-8d0d-4137-8f7e-55a82d55f8b2/full/!200,200/0/default.jpg"
1135,A Gentleman of the Morris Family,John Wollaston,Painting,"https://api.nga.gov/iiif/28ded22f-0ade-446c-bed7-8870c91d319c/full/!200,200/0/default.jpg"
1141,Francesco Sforza,North Italian 15th Century,Painting,"https://api.nga.gov/iiif/a8a8fcd6-496e-40cb-a4b9-e4001642490b/full/!200,200/0/default.jpg"
1145,David with the Head of Goliath,Andrea del Castagno,Painting,"https://api.nga.gov/iiif/f6dc7861-6bc3-4712-a814-43804f3ecca0/full/!200,200/0/default.jpg"
1148,"Corot's Studio: Woman Seated Before an Easel, a Mandolin in her Hand",Jean-Baptiste-Camille Corot,Painting,"https://api.nga.gov/iiif/e4788e0d-79d1-434c-a358-3015c865409b/full/!200,200/0/default.jpg"
1153,Horsemen and Herdsmen with Cattle,Aelbert Cuyp,Painting,"https://api.nga.gov/iiif/194c86fb-0bcc-47eb-b848-f4bf2f24c30e/full/!200,200/0/default.jpg"
1154,The Saint Anne Altarpiece: Saint Nicholas [left panel],Gerard David and Workshop,Painting,"https://api.nga.gov/iiif/8d5e54e2-78be-4d80-b526-700e9746916e/full/!200,200/0/default.jpg"
1155,The Saint Anne Altarpiece: Saint Anne with the Virgin and Child [middle panel],Gerard David and Workshop,Painting,"https://api.nga.gov/iiif/072919d5-cf19-4605-8c9c-a85267f9ca96/full/!200,200/0/default.jpg"
1156,The Saint Anne Altarpiece: Saint Anthony of Padua [right panel],Gerard David and Workshop,Painting,"https://api.nga.gov/iiif/5ef4c2b2-4df1-43d0-aaac-21ee5bef1fcd/full/!200,200/0/default.jpg"
1161,"John, 4th Earl of Darnley",Thomas Gainsborough,Painting,"https://api.nga.gov/iiif/ff6db495-6391-4f75-b638-53bc0dfe975e/full/!200,200/0/default.jpg"
1160,The Hon. Mrs. Thomas Graham,Thomas Gainsborough,Painting,"https://api.nga.gov/iiif/360658c9-e588-4b72-933c-8d95ab53906a/full/!200,200/0/default.jpg"
1167,Portrait of a Man,Frans Hals,Painting,"https://api.nga.gov/iiif/cab68476-336a-4223-90fe-eb33ba2e5293/full/!200,200/0/default.jpg"
1178,The Satyr and the Peasant,Johann Liss,Painting,"https://api.nga.gov/iiif/37f339d0-4e3e-4c81-bfeb-45641be22274/full/!200,200/0/default.jpg"
1180,At the Races,Edouard Manet,Painting,"https://api.nga.gov/iiif/dcde3408-0a60-4a75-9ff7-d4b86aa888f1/full/!200,200/0/default.jpg"
1181,Judith with the Head of Holofernes,Andrea Mantegna or Follower (Possibly Giulio Campagnola),Painting,"https://api.nga.gov/iiif/c6e0cea2-9175-4f75-9dd7-024d479d4478/full/!200,200/0/default.jpg"
1191,A Farrier's Shop,Paulus Potter,Painting,"https://api.nga.gov/iiif/fd006ab2-888f-485d-b909-eb2d56c4a4f5/full/!200,200/0/default.jpg"
1192,Bianca Maria Sforza,Ambrogio de Predis,Painting,"https://api.nga.gov/iiif/7afeb3aa-95f4-4d07-b785-edfea8189e08/full/!200,200/0/default.jpg"
